JOHN BISHTON ,Wall Time : , 14:36:30 , Coast Time : , 05:10:33
ADAM MUIR ,Wall Time : , 12:23:29 , Coast Time : , 05:10:43
ADAM MAKOWSKI ,Wall Time : , 12:08:06 , Coast Time : , 05:14:42
OLIVER HARVEY-VALLENDER ,Wall Time : , 20:46:10 , Coast Time : , 05:22:23
ANDRZEJ GASIOROWSKI ,Wall Time : , 13:32:11 , Coast Time : , 05:39:56
JAMES WHITTAKER ,Wall Time : , 17:00:18 , Coast Time : , 05:53:54
NIGEL PARR ,Wall Time : , 17:38:19 , Coast Time : , 05:59:07
NEIL BRESLIN ,Wall Time : , 17:04:30 , Coast Time : , 06:00:15
PAWEL MUSIAL ,Wall Time : , 15:55:18 , Coast Time : , 06:10:51
DENISE BRAZIER ,Wall Time : , 16:38:44 , Coast Time : , 06:18:43
LEA CHAPMAN ,Wall Time : , 13:17:43 , Coast Time : , 06:21:18
JOHN THORNBURN ,Wall Time : , 16:09:31 , Coast Time : , 06:21:40
ANDY DALTON ,Wall Time : , 17:36:47 , Coast Time : , 06:21:54
FABIEN LEVAL ,Wall Time : , 14:35:24 , Coast Time : , 06:25:39
MALCOLM SIMMONS ,Wall Time : , 16:38:40 , Coast Time : , 06:38:11
KRISTY TAPPIN ,Wall Time : , 18:21:48 , Coast Time : , 06:38:48
ANTONY GRAY ,Wall Time : , 17:39:14 , Coast Time : , 06:39:11
STUART CONNELL ,Wall Time : , 20:45:01 , Coast Time : , 06:39:12
RICHARD BRENDA ,Wall Time : , 17:53:09 , Coast Time : , 06:43:17
KEVIN WEBB ,Wall Time : , 18:21:48 , Coast Time : , 06:46:03
LINDA JOHNSON ,Wall Time : , 15:00:17 , Coast Time : , 06:48:42
PAUL STANLEY ,Wall Time : , 21:23:10 , Coast Time : , 06:49:35
OLIVER TAYLOR ,Wall Time : , 18:02:35 , Coast Time : , 06:51:20
THOMAS DIXON ,Wall Time : , 17:18:42 , Coast Time : , 06:54:48
AARON PRATLEY ,Wall Time : , 16:09:20 , Coast Time : , 06:55:06
REBECCA STILL ,Wall Time : , 15:10:53 , Coast Time : , 06:57:22
KEVIN HEWITT ,Wall Time : , 16:33:56 , Coast Time : , 06:58:01
SAMANTHA HEWITT ,Wall Time : , 23:29:04 , Coast Time : , 06:58:57
WILLIAM DURKIN ,Wall Time : , 16:04:48 , Coast Time : , 07:00:07
CHRIS WILLIAMSON ,Wall Time : , 18:38:29 , Coast Time : , 07:01:09
PAUL WILLIS ,Wall Time : , 18:12:47 , Coast Time : , 07:01:22
AARON KIRKHAM ,Wall Time : , 17:04:30 , Coast Time : , 07:06:06
ALEX LEE ,Wall Time : , 18:38:29 , Coast Time : , 07:06:21
ZOE MILLS ,Wall Time : , 15:57:57 , Coast Time : , 07:08:20
YASMIN THOMPSON ,Wall Time : , 18:05:24 , Coast Time : , 07:12:05
ANDREW LAMBOURNE ,Wall Time : , 16:48:50 , Coast Time : , 07:14:00
DAVID WHEELER ,Wall Time : , 16:01:07 , Coast Time : , 07:14:05
SANDERLENE RACE ,Wall Time : , 16:36:46 , Coast Time : , 07:16:43
DARREN WRIGHT ,Wall Time : , 16:48:50 , Coast Time : , 07:22:23
ELIZABETH MACKENZIE ,Wall Time : , 21:03:21 , Coast Time : , 07:23:30
STEPHEN RACE ,Wall Time : , 16:36:46 , Coast Time : , 07:23:52
NICK TURNER ,Wall Time : , 16:38:29 , Coast Time : , 07:26:17
EMMA JACQUES ,Wall Time : , 18:55:27 , Coast Time : , 07:26:20
MICHAEL JACKSON ,Wall Time : , 17:44:15 , Coast Time : , 07:29:20
NEIL KRAAKMAN ,Wall Time : , 16:20:49 , Coast Time : , 07:29:58
GREGORY CROOKS ,Wall Time : , 19:18:28 , Coast Time : , 07:30:30
MELANIE HITCHENS ,Wall Time : , 21:23:10 , Coast Time : , 07:34:37
MANUEL REYES ,Wall Time : , 20:28:09 , Coast Time : , 07:35:38
PAUL EVANS ,Wall Time : , 16:33:48 , Coast Time : , 07:36:13
NORIN MURPHY ,Wall Time : , 16:49:31 , Coast Time : , 07:38:19
LEE WILSON ,Wall Time : , 18:25:38 , Coast Time : , 07:39:18
DANIEL COGSWELL ,Wall Time : , 20:04:13 , Coast Time : , 07:39:53
JOHN SPRIGGS ,Wall Time : , 14:51:02 , Coast Time : , 07:40:00
BEN HOLLINGWORTH ,Wall Time : , 16:50:31 , Coast Time : , 07:43:35
RICHARD STANGROOM ,Wall Time : , 18:02:30 , Coast Time : , 07:44:40
ALEX EASTABROOK ,Wall Time : , 23:24:46 , Coast Time : , 07:46:37
SIMON DOWNS ,Wall Time : , 17:34:55 , Coast Time : , 07:46:48
ROBERT COX ,Wall Time : , 18:33:35 , Coast Time : , 07:48:31
JAMES TARBIT ,Wall Time : , 22:41:22 , Coast Time : , 08:01:16
KEITH FOSTER ,Wall Time : , 12:52:17 , Coast Time : , 08:02:46
TONY CHURCH ,Wall Time : , 16:40:12 , Coast Time : , 08:04:24
JOHN MEAD ,Wall Time : , 22:21:20 , Coast Time : , 08:06:38
PETE LEAK ,Wall Time : , 21:38:09 , Coast Time : , 08:09:57
DANIEL DOYLE ,Wall Time : , 16:58:05 , Coast Time : , 08:11:23
PAUL CORNWELL ,Wall Time : , 20:19:52 , Coast Time : , 08:14:24
ANDY MCLAREN ,Wall Time : , 24:36:20 , Coast Time : , 08:15:19
YVONNE LEE ,Wall Time : , 19:29:30 , Coast Time : , 08:16:18
GAYNOR SANDERS ,Wall Time : , 20:19:52 , Coast Time : , 08:17:42
SCOTT JAGO ,Wall Time : , 16:49:31 , Coast Time : , 08:18:06
SIMEON CONEY ,Wall Time : , 22:09:28 , Coast Time : , 08:19:58
SIMON BRIDGEWATER ,Wall Time : , 17:44:15 , Coast Time : , 08:20:50
OLIVER PRYER ,Wall Time : , 23:29:04 , Coast Time : , 08:22:14
PETE EDWARDS ,Wall Time : , 18:20:56 , Coast Time : , 08:23:10
BEN DOWNWARD ,Wall Time : , 17:59:49 , Coast Time : , 08:28:01
MATTHEW COLLINS ,Wall Time : , 16:52:05 , Coast Time : , 08:29:44
SARAH PEPPER ,Wall Time : , 19:13:24 , Coast Time : , 08:31:33
MICHAEL EVANS ,Wall Time : , 16:58:05 , Coast Time : , 08:32:13
JACK HOOLEY ,Wall Time : , 20:59:34 , Coast Time : , 08:34:33
MATTHEW CARCARY ,Wall Time : , 23:40:26 , Coast Time : , 08:38:05
GRAHAM COOPER ,Wall Time : , 22:47:20 , Coast Time : , 08:38:34
RACHEL FLENTJE ,Wall Time : , 22:47:20 , Coast Time : , 08:39:41
MICHAEL CLEGG ,Wall Time : , 16:04:38 , Coast Time : , 08:39:59
ANDREW CURRAN ,Wall Time : , 23:23:18 , Coast Time : , 08:40:50
JORDAN REYNAUD ,Wall Time : , 23:23:18 , Coast Time : , 08:44:12
JAMES HANNANT ,Wall Time : , 16:41:14 , Coast Time : , 08:53:16
GREG FULTON ,Wall Time : , 20:36:27 , Coast Time : , 08:53:52
SAMANTHA DAVENWARD ,Wall Time : , 20:44:32 , Coast Time : , 08:55:17
JONATHAN TRAYNOR ,Wall Time : , 20:43:34 , Coast Time : , 08:56:55
DAVID MURRAY ,Wall Time : , 18:02:35 , Coast Time : , 09:14:38
PAUL BEDDOWS ,Wall Time : , 21:04:57 , Coast Time : , 09:23:47
PETER REDWOOD-SMITH ,Wall Time : , 25:56:42 , Coast Time : , 09:37:40
ELAINE CROSTHWAITE ,Wall Time : , 23:40:26 , Coast Time : , 09:49:32
JANE WILKES ,Wall Time : , 20:19:52 , Coast Time : , 09:56:03
SAM FINNEY ,Wall Time : , 17:28:26 , Coast Time : , 
CHRISTOPHER MALES ,Wall Time : , 16:21:55 , Coast Time : , 
DARREN MORRIS ,Wall Time : , 23:03:17 , Coast Time : , 
MICHAEL RICHARDSON ,Wall Time : , 20:08:40 , Coast Time : , 
NICK WOOD ,Wall Time : , 21:24:47 , Coast Time : , 